,wind speed in knots (TWS),  speed in knots
angle (TWA),6,8,10,12,14,16,20
38,4.066764639833134,5.22956662228336,5.7982693004522545,6.290730898032375,6.540232935786425,6.72,6.709191649314777
39,4.1605292794222,5.301825252880361,5.901846621791339,6.37181255708253,6.62,6.792483490983678,6.79
40,4.250949163549681,5.371958521167245,6.0,6.45,6.69600730278381,6.861924020111159,6.867817695838638
41,4.338065234943385,5.44,6.0929086302037,6.525341302453304,6.768406400333815,6.928437358413057,6.942731662743134
44,4.58,5.631909428333368,6.341957984039687,6.734769123713354,6.965470023540703,7.111571938671361,7.150920448976291
52,5.09,6.06,6.82,7.18,7.37,7.5,7.6
60,5.42,6.38,7.1,7.48,7.66,7.79,7.93
70,5.62,6.6,7.27,7.69,7.95,8.09,8.26
75,5.65,6.64,7.29,7.74,8.06,8.23,8.43
80,5.66,6.84,7.34,7.75,8.11,8.36,8.59
90,5.92,7.04,7.56,7.76,8.06,8.42,8.89
110,5.81,6.98,7.76,8.35,8.71,8.92,9.36
120,5.67,6.87,7.58,8.12,8.66,9.17,9.81
135,4.98,6.09,7.03,7.62,8.13,8.64,9.89
140,4.59,5.773236546489128,6.735401838346792,7.412681911960175,7.900458738384775,8.38290364126952,9.605229434420314
144,4.310915983689412,5.52,6.468960457988029,7.218651001684981,7.714493003672691,8.18740192522851,9.30941632862144
145,4.247773974453356,5.456386113812145,6.4,7.165638551737944,7.6686966622472,8.140433725363769,9.23310968841048
150,3.96,5.14,6.06,6.87,7.45,7.92,8.88
154,3.7523708226680608,4.8963684959394875,5.8218592411325325,6.61,7.29196935933619,7.763834468717114,8.670189131504246
165,3.3,4.34,5.35,6.14,6.88,7.43,8.34
166,3.2697418435801464,4.301788919209982,5.319279775629059,6.113560030455593,6.84,7.406521038775983,8.317793790148231
177,3.0918583569638507,4.0824197744290345,5.097346169247532,5.919348062190478,6.562472591635586,7.24,8.144252515471324
178,3.09159432496881,4.084080654099113,5.086792604127782,5.90623595727662,6.572199184751847,7.234743201245616,8.14
180,3.1,4.1,5.07,5.88,6.62,7.23,8.14
